region,capacity_scenario,lifetime_scenario,modelled_installed_mass_million_tonnes,total_eol_waste_million_tonnes,peak_waste_year,peak_annual_waste_million_tonnes,first_year_above_1_tonne
India,Conservative,Fixed_25,58.187704354914196,58.1877043549142,2057,4.1228806226188555,2039
India,Conservative,Early_Loss,58.187704354914196,58.1877043549142,2057,1.7391614546299097,2015
India,Conservative,Regular_Loss,58.187704354914196,58.1877043549142,2061,2.7580443159483212,2018
India,Medium,Fixed_25,92.51638115285324,92.51638115285324,2059,6.369703196175387,2039
India,Medium,Early_Loss,92.51638115285324,92.51638115285324,2059,2.7567584514725727,2015
India,Medium,Regular_Loss,92.51638115285324,92.51638115285326,2063,4.339849776065857,2018
India,High,Fixed_25,137.55947137807817,137.55947137807817,2061,9.391312153844122,2039
India,High,Early_Loss,137.55947137807817,137.55947137807814,2061,4.104675682062832,2015
India,High,Regular_Loss,137.55947137807817,137.55947137807817,2065,6.442110538756216,2018
Gujarat,Conservative,Fixed_25,3.8045479436564063,3.8045479436564063,2051,0.7564382000000001,2039
Gujarat,Conservative,Early_Loss,3.8045479436564063,3.8045479436564063,2052,0.12125596599518647,2015
Gujarat,Conservative,Regular_Loss,3.8045479436564063,3.8045479436564063,2056,0.21796655820634905,2018
Gujarat,Medium,Fixed_25,6.809657385766831,6.8096573857668306,2051,0.7564382000000001,2039
Gujarat,Medium,Early_Loss,6.809657385766831,6.809657385766831,2054,0.21487142617175317,2015
Gujarat,Medium,Regular_Loss,6.809657385766831,6.809657385766831,2058,0.37733889979895224,2018
Gujarat,High,Fixed_25,10.21297271097855,10.21297271097855,2055,1.0436894315694252,2039
Gujarat,High,Early_Loss,10.21297271097855,10.21297271097855,2055,0.3207538203588322,2015
Gujarat,High,Regular_Loss,10.21297271097855,10.21297271097855,2059,0.5577534250703381,2018
Karnataka,Conservative,Fixed_25,1.660126748622161,1.660126748622161,2043,0.2665383,2039
Karnataka,Conservative,Early_Loss,1.660126748622161,1.660126748622161,2054,0.04158440872213601,2015
Karnataka,Conservative,Regular_Loss,1.660126748622161,1.660126748622161,2051,0.05563257945241541,2021
Karnataka,Medium,Fixed_25,1.9496922269718775,1.9496922269718777,2043,0.2665383,2039
Karnataka,Medium,Early_Loss,1.9496922269718775,1.9496922269718777,2057,0.04786246661950887,2015
Karnataka,Medium,Regular_Loss,1.9496922269718775,1.9496922269718777,2052,0.05867185471567211,2021
Karnataka,High,Fixed_25,2.0785971210699925,2.078597121069992,2043,0.2665383,2039
Karnataka,High,Early_Loss,2.0785971210699925,2.078597121069992,2057,0.05091087484110917,2015
Karnataka,High,Regular_Loss,2.0785971210699925,2.078597121069992,2053,0.06024842717477776,2021
Maharashtra,Conservative,Fixed_25,6.3131085617377884,6.313108561737788,2054,0.8645442995510363,2039
Maharashtra,Conservative,Early_Loss,6.3131085617377884,6.3131085617377884,2054,0.2028826520397712,2015
Maharashtra,Conservative,Regular_Loss,6.3131085617377884,6.3131085617377884,2058,0.3714155883968656,2020
Maharashtra,Medium,Fixed_25,12.625874529670257,12.62587452967026,2056,1.613495047804226,2039
Maharashtra,Medium,Early_Loss,12.625874529670257,12.625874529670257,2056,0.40447181081346956,2015
Maharashtra,Medium,Regular_Loss,12.625874529670257,12.625874529670257,2060,0.7341869369381916,2020
Maharashtra,High,Fixed_25,18.93818176985819,18.93818176985819,2057,2.368813895630951,2039
Maharashtra,High,Early_Loss,18.93818176985819,18.93818176985819,2057,0.606029028823908,2015
Maharashtra,High,Regular_Loss,18.93818176985819,18.93818176985819,2061,1.0962752972022856,2020
Rajasthan,Conservative,Fixed_25,14.49069258015897,14.49069258015897,2056,1.265143377139032,2039
Rajasthan,Conservative,Early_Loss,14.49069258015897,14.490692580158969,2056,0.44791106421104665,2015
Rajasthan,Conservative,Regular_Loss,14.49069258015897,14.49069258015897,2059,0.7521672155304909,2019
Rajasthan,Medium,Fixed_25,23.151977909065266,23.15197790906527,2057,1.9327992361398652,2039
Rajasthan,Medium,Early_Loss,23.151977909065266,23.15197790906527,2058,0.7109463231143089,2015
Rajasthan,Medium,Regular_Loss,23.151977909065266,23.15197790906527,2061,1.180236274503152,2019
Rajasthan,High,Fixed_25,34.65280446961564,34.65280446961564,2059,2.8288819725341616,2039
Rajasthan,High,Early_Loss,34.65280446961564,34.65280446961564,2059,1.0615792817308862,2015
Rajasthan,High,Regular_Loss,34.65280446961564,34.65280446961564,2063,1.7490762877788046,2019
Tamil Nadu,Conservative,Fixed_25,1.4386764399787493,1.4386764399787493,2051,0.2398263,2039
Tamil Nadu,Conservative,Early_Loss,1.4386764399787493,1.4386764399787493,2050,0.0444231263771387,2015
Tamil Nadu,Conservative,Regular_Loss,1.4386764399787493,1.4386764399787493,2054,0.07411396823043193,2020
Tamil Nadu,Medium,Fixed_25,2.870719994310849,2.8707199943108486,2051,0.2398263,2039
Tamil Nadu,Medium,Early_Loss,2.870719994310849,2.870719994310849,2054,0.08570670478730082,2015
Tamil Nadu,Medium,Regular_Loss,2.870719994310849,2.870719994310849,2058,0.1355077381502052,2020
Tamil Nadu,High,Fixed_25,4.289411155867906,4.289411155867906,2056,0.2847781099283704,2039
Tamil Nadu,High,Early_Loss,4.289411155867906,4.289411155867905,2057,0.1267705144133528,2015
Tamil Nadu,High,Regular_Loss,4.289411155867906,4.289411155867905,2060,0.19717488584840295,2020
