material,price_scenario,year,base_price_usd_t,annual_real_growth_rate,price_real_2026_usd_t,quality_discount,quality_factor,quality_adjusted_price_real_2026_usd_t
Aluminium,Reference,2045,2338.0,0.01,3086.453870736,0.1,0.9,2777.8084836624002
Aluminium,Reference,2046,2338.0,0.01,3117.3184094433605,0.1,0.9,2805.5865684990245
Aluminium,Reference,2047,2338.0,0.01,3148.491593537794,0.1,0.9,2833.6424341840147
Aluminium,Reference,2048,2338.0,0.01,3179.976509473172,0.1,0.9,2861.978858525855
Aluminium,Reference,2049,2338.0,0.01,3211.776274567904,0.1,0.9,2890.5986471111137
Aluminium,Reference,2050,2338.0,0.01,3243.894037313583,0.1,0.9,2919.504633582225
Aluminium,Reference,2051,2338.0,0.01,3276.3329776867186,0.1,0.9,2948.699679918047
Aluminium,Reference,2052,2338.0,0.01,3309.0963074635856,0.1,0.9,2978.1866767172273
Aluminium,Reference,2053,2338.0,0.01,3342.1872705382216,0.1,0.9,3007.9685434843996
Aluminium,Reference,2054,2338.0,0.01,3375.6091432436037,0.1,0.9,3038.0482289192432
Aluminium,Reference,2055,2338.0,0.01,3409.36523467604,0.1,0.9,3068.428711208436
Aluminium,Reference,2056,2338.0,0.01,3443.4588870228004,0.1,0.9,3099.1129983205205
Aluminium,Reference,2057,2338.0,0.01,3477.8934758930286,0.1,0.9,3130.1041283037257
Aluminium,Reference,2058,2338.0,0.01,3512.672410651959,0.1,0.9,3161.4051695867633
Aluminium,Reference,2059,2338.0,0.01,3547.799134758479,0.1,0.9,3193.019221282631
Aluminium,Reference,2060,2338.0,0.01,3583.277126106064,0.1,0.9,3224.9494134954575
Aluminium,Reference,2061,2338.0,0.01,3619.1098973671246,0.1,0.9,3257.198907630412
Aluminium,Reference,2062,2338.0,0.01,3655.300996340796,0.1,0.9,3289.7708967067165
Aluminium,Reference,2063,2338.0,0.01,3691.8540063042037,0.1,0.9,3322.6686056737835
Aluminium,Reference,2064,2338.0,0.01,3728.772546367246,0.1,0.9,3355.8952917305214
