region,capacity_scenario,lifetime_scenario,price_scenario,variable,case,discount_rate,price_multiplier,quantity_multiplier,quality_discount_shift_percentage_points,cumulative_pv_2026_to_2075_real_2026_usd,selected_year_snapshot_pv_real_2026_usd,baseline_cumulative_pv_real_2026_usd,baseline_snapshot_pv_real_2026_usd,cumulative_pv_change_percent,snapshot_pv_change_percent
India,Medium,Regular_Loss,Reference,Real discount rate,Low,0.03,1.0,1.0,0.0,103567978429.02502,7194330706.930019,54291390192.34898,3727136263.258813,90.76317269109154,93.0256958365046
India,Medium,Regular_Loss,Reference,Real discount rate,High,0.07,1.0,1.0,0.0,29530853647.0621,2005800689.0637255,54291390192.34898,3727136263.258813,-45.60674622175408,-46.18386483916854
India,Medium,Regular_Loss,Reference,Commodity prices,Low,0.05,0.9,1.0,0.0,48862251173.11409,3354422636.932932,54291390192.34898,3727136263.258813,-9.999999999999991,-9.999999999999993
India,Medium,Regular_Loss,Reference,Commodity prices,High,0.05,1.1,1.0,0.0,59720529211.58389,4099849889.584694,54291390192.34898,3727136263.258813,10.00000000000002,9.999999999999993
India,Medium,Regular_Loss,Reference,Material quantities,Low,0.05,1.0,0.9,0.0,48862251173.11409,3354422636.932932,54291390192.34898,3727136263.258813,-9.999999999999991,-9.999999999999993
India,Medium,Regular_Loss,Reference,Material quantities,High,0.05,1.0,1.1,0.0,59720529211.58389,4099849889.584694,54291390192.34898,3727136263.258813,10.00000000000002,9.999999999999993
India,Medium,Regular_Loss,Reference,Quality discounts,Favourable,0.05,1.0,1.0,-0.1,58284008358.19298,4001090214.103085,54291390192.34898,3727136263.258813,7.354054025322516,7.350253156688754
India,Medium,Regular_Loss,Reference,Quality discounts,Adverse,0.05,1.0,1.0,0.1,48343306887.72301,3318849621.355565,54291390192.34898,3727136263.258813,-10.95585005937868,-10.954432922886038
