state,year,Conservative,Medium,High
Gujarat,2027,4.591005184132957,8.0109388272767,9.379307637297284
Gujarat,2028,5.947206527779635,10.351004625628697,12.705570189477712
Gujarat,2029,4.717755787604759,10.440477950345276,14.321963597284771
Gujarat,2030,3.428812081543221,9.60684668846661,14.90984902242036
Gujarat,2031,2.33667151139057,8.121138039046556,14.290438085850852
Gujarat,2032,1.5233777200237526,6.38738761040905,12.651825701527912
Gujarat,2033,0.9646620633379044,4.74461865926969,10.437874717227544
Gujarat,2034,0.5996454691119908,3.3767761946575234,8.121414548271787
Gujarat,2035,0.36846268731139276,2.3307773474668636,6.035738811899037
Gujarat,2036,0.22480229157132214,1.5749764314954433,4.334487111792782
Gujarat,2037,0.13655859469909615,1.0490402251082855,3.0366829541721074
Gujarat,2038,0.08273493371431329,0.6920442171048791,2.0907649615841137
Gujarat,2039,0.05004522740104278,0.4536447776189192,1.4223110987974792
Gujarat,2040,0.030242326054093382,0.29613315367318194,0.9596846998786077
Gujarat,2041,0.018264724429634782,0.19278583687271578,0.6439622154174742
Gujarat,2042,0.011026997586903065,0.1252831579918734,0.4305056475900244
Gujarat,2043,0.006655927582102095,0.0813222473422428,0.28709001729669126
Gujarat,2044,0.004017018683342144,0.05274737556266018,0.19113372761094638
Gujarat,2045,0.002424182377467332,0.03419647839548645,0.12710922956571835
Gujarat,2046,0.0014628719573721582,0.02216282593850849,0.08446910943703756
Gujarat,2047,0.00088274450181558,0.014360853017208797,0.056105673278466384
Gujarat,2048,0.0005326676160493093,0.009304175512241386,0.03725416541962545
Gujarat,2049,0.00032142013702696204,0.006027515459251731,0.024731439815411704
Gujarat,2050,0.00019394882947665337,0.0039045830091453126,0.016415793922675448
India,2027,29.386472543784237,32.53101927327941,34.23025604739382
India,2028,43.000944290199726,47.48162880005847,50.057617578689104
India,2029,49.032309686563906,56.74920064391762,61.43271357997679
India,2030,54.09364332885269,66.27154420990246,74.16108113294234
India,2031,57.54610828635896,75.32880608835148,87.76710569603682
India,2032,58.898294608840786,83.0390723749386,101.46206381955528
India,2033,57.94551879177749,88.50166447570774,114.1626552143681
India,2034,54.832718564417064,90.99575994536269,124.60745289479564
