state,year,Conservative,Medium,High
Karnataka,2027,0.5030443635444151,0.7463353210602026,0.856374918099668
Karnataka,2028,0.7301634868403148,0.8181785459621214,0.8578087971347745
Karnataka,2029,0.7086948518407379,0.805851183422515,0.84937729307644
Karnataka,2030,0.687629897960127,0.793709535901753,0.841028648868873
Karnataka,2031,0.6669769145386866,0.7817508061317167,0.8327620504960702
Karnataka,2032,0.6467428223809524,0.7699722389599071,0.8245766919332862
Karnataka,2033,0.6269332434768717,0.7583711207158021,0.8164717750689583
Karnataka,2034,0.6075525710896166,0.7469447785868653,0.8084465096268829
Karnataka,2035,0.5886040397658725,0.7356905800037765,0.8005001130895799
Karnataka,2036,0.57008979486924,0.724605932035093,0.7926318106220727
Karnataka,2037,0.5520109612805371,0.7136882807907661,0.7848408349967109
Karnataka,2038,0.5343677109511411,0.7029351108348649,0.7771264265184143
Karnataka,2039,0.5171593290350387,0.6923439446068862,0.7694878329509827
Karnataka,2040,0.5003842783639101,0.6819123418519908,0.7619243094438666
Karnataka,2041,0.4840402620644113,0.6716378990595935,0.7544351184596749
Karnataka,2042,0.4681242841515001,0.6615182489105145,0.747019529702662
Karnataka,2043,0.4526327079615058,0.6515510597323839,0.7396768200475101
Karnataka,2044,0.4375613123182376,0.6417340349632816,0.7324062734691061
Karnataka,2045,0.42290534535138136,0.6320649126233704,0.7252071809729408
Karnataka,2046,0.4086595759101215,0.6225414647945051,0.7180788405260969
Karnataka,2047,0.394818342537139,0.6131614971076615,0.7110205569889949
Karnataka,2048,0.3813755999868711,0.6039228482380885,0.7040316420477772
Karnataka,2049,0.3683249632898402,0.5948233894079564,0.697111414147443
Karnataka,2050,0.35565974937954437,0.5858610238966371,0.6902591984253874
Rajasthan,2027,11.966713724845754,13.007006427798167,13.560576333148624
Rajasthan,2028,15.122402275396183,17.061836092127137,18.176718800537927
Rajasthan,2029,17.008903877710793,20.59812066065703,22.83380280263728
Rajasthan,2030,18.071041555037908,23.86042249538727,27.839159089454284
Rajasthan,2031,18.073476816271878,26.3512431506324,32.73059048871016
Rajasthan,2032,17.015646701866288,27.611417659140926,36.877126586290615
Rajasthan,2033,15.132023041428397,27.38283414598513,39.60755451448247
Rajasthan,2034,12.789677052430477,25.713590254624933,40.41259960763088
Rajasthan,2035,10.353385081826076,22.93772245641901,39.13200506095444
Rajasthan,2036,8.092324564108452,19.543113040432047,36.01853809936853
Rajasthan,2037,6.153377018739803,16.009859738449393,31.63810826743469
Rajasthan,2038,4.58180577519974,12.698866145478917,26.66890662732908
Rajasthan,2039,3.3585599732602134,9.81720477768937,21.71059341678449
Rajasthan,2040,2.43371466916696,7.43982022542184,17.178412378226028
Rajasthan,2041,1.7488695381872503,5.553506579554892,13.288915014283077
Rajasthan,2042,1.2492071087482088,4.098818882587636,10.101639733705554
Rajasthan,2043,0.8884746868401976,2.9999803586555345,7.577078613191304
Rajasthan,2044,0.6299809124661806,2.182312745136244,5.626776604241968
Rajasthan,2045,0.44572549470314016,1.5804405027772077,4.147453702463338
Rajasthan,2046,0.3148768177279635,1.1408679124111814,3.040295885010778
Rajasthan,2047,0.2221993019233821,0.8216344893221503,2.219722393025961
Rajasthan,2048,0.15667947985474484,0.5907333781663056,1.615853609726969
Rajasthan,2049,0.11041981600979511,0.4242082048931479,1.1737445826139492
Rajasthan,2050,0.07778871852121938,0.30436123432741624,0.8512716403995455
