region,capacity_scenario,lifetime_scenario,year,metric,Glass_tonnes,Aluminium_tonnes,Polymers_tonnes,Silicon_tonnes,Copper_tonnes,Silver_tonnes,Zinc_tonnes,Lead_tonnes,Tin_tonnes,Other_tonnes
Gujarat,Conservative,Fixed_25,2045,annual,22396.885113268607,4159.421521035599,2879.5995145631064,1119.8442556634304,959.8665048543688,17.597552588996763,20.79710760517799,9.598665048543689,9.598665048543689,63.9911003236246
Gujarat,Conservative,Fixed_25,2045,cumulative,146000.9708737864,27114.466019417476,18771.55339805825,7300.0485436893205,6257.184466019417,114.71504854368932,135.57233009708736,62.571844660194174,62.571844660194174,417.1456310679612
Gujarat,Medium,Fixed_25,2045,annual,22396.885113268607,4159.421521035599,2879.5995145631064,1119.8442556634304,959.8665048543688,17.597552588996763,20.79710760517799,9.598665048543689,9.598665048543689,63.9911003236246
Gujarat,Medium,Fixed_25,2045,cumulative,146000.9708737864,27114.466019417476,18771.55339805825,7300.0485436893205,6257.184466019417,114.71504854368932,135.57233009708736,62.571844660194174,62.571844660194174,417.1456310679612
Gujarat,High,Fixed_25,2045,annual,22396.885113268607,4159.421521035599,2879.5995145631064,1119.8442556634304,959.8665048543688,17.597552588996763,20.79710760517799,9.598665048543689,9.598665048543689,63.9911003236246
Gujarat,High,Fixed_25,2045,cumulative,146000.9708737864,27114.466019417476,18771.55339805825,7300.0485436893205,6257.184466019417,114.71504854368932,135.57233009708736,62.571844660194174,62.571844660194174,417.1456310679612
Gujarat,Conservative,Early_Loss,2045,annual,75279.07899876716,13980.400385485329,9678.73872841292,3763.9539499383577,3226.2462428043063,59.147847784745615,69.90200192742664,32.262462428043065,32.262462428043065,215.08308285362045
Gujarat,Conservative,Early_Loss,2045,cumulative,742742.9229103962,137937.97139764501,95495.51865990808,37137.14614551981,31831.839553302692,583.5837251438827,689.689856988225,318.31839553302694,318.31839553302694,2122.1226368868465
Gujarat,Medium,Early_Loss,2045,annual,120124.29566580574,22308.797766506777,15444.552299889308,6006.2147832902865,5148.184099963103,94.38337516599022,111.54398883253388,51.48184099963103,51.48184099963103,343.21227333087353
Gujarat,Medium,Early_Loss,2045,cumulative,1059839.221767697,196827.28404257228,136265.0427987039,52991.96108838484,45421.6809329013,832.7308171031904,984.1364202128614,454.21680932901296,454.21680932901296,3028.11206219342
