region,capacity_scenario,lifetime_scenario,year,material,source_range,raw_midpoint_weight_percent,normalized_weight_percent,annual_material_tonnes,cumulative_material_tonnes
India,Medium,Regular_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,344.423985222561,1632.183867223104
India,Medium,Regular_Loss,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,407.04652799029935,1928.9445703545773
India,Medium,Regular_Loss,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,187.8676283032151,890.2821093944204
India,Medium,Regular_Loss,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,187.8676283032151,890.2821093944204
India,Medium,Regular_Loss,2045,Other,<0.20%,0.2,0.2022653721682848,1252.4508553547673,5935.2140626294695
India,High,Fixed_25,2045,Glass,68-72%,70.0,70.79288025889969,273749.3426375405,1709456.7758899676
India,High,Fixed_25,2045,Aluminium,12-14%,13.0,13.147249190938512,50839.16363268609,317470.5440938511
India,High,Fixed_25,2045,Polymers,8-10%,9.0,9.101941747572816,35196.34405339806,219787.29975728155
India,High,Fixed_25,2045,Silicon,3-4%,3.5,3.5396440129449838,13687.467131877023,85472.83879449838
India,High,Fixed_25,2045,Copper,2-4%,3.0,3.033980582524272,11732.11468446602,73262.43325242717
India,High,Fixed_25,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,215.08876921521036,1343.1446096278316
India,High,Fixed_25,2045,Zinc,0.03-0.10%,0.065,0.06573624595469256,254.19581816343043,1587.3527204692555
India,High,Fixed_25,2045,Lead,0.01-0.05%,0.03,0.03033980582524272,117.3211468446602,732.6243325242718
India,High,Fixed_25,2045,Tin,0.01-0.05%,0.03,0.03033980582524272,117.3211468446602,732.6243325242718
India,High,Fixed_25,2045,Other,<0.20%,0.2,0.2022653721682848,782.1409789644014,4884.162216828479
India,High,Early_Loss,2045,Glass,68-72%,70.0,70.79288025889969,1307158.4412703502,9176258.629053164
India,High,Early_Loss,2045,Aluminium,12-14%,13.0,13.147249190938512,242757.99623592215,1704162.3168241591
India,High,Early_Loss,2045,Polymers,8-10%,9.0,9.101941747572816,168063.22816333073,1179804.6808782641
India,High,Early_Loss,2045,Silicon,3-4%,3.5,3.5396440129449838,65357.92206351751,458812.93145265826
India,High,Early_Loss,2045,Copper,2-4%,3.0,3.033980582524272,56021.076054443576,393268.22695942136
India,High,Early_Loss,2045,Silver,0.03-0.08%,0.055,0.05562297734627832,1027.0530609981322,7209.917494256058
